Timestamp,IP,Motivo
2024-12-11 10:44:46,10.5.130.241,IP na lista negra
2024-12-11 10:44:54,10.5.130.5,Pacote muito pesado (1514 bytes)
2024-12-11 10:44:57,2.21.10.43,Pacote muito pesado (1514 bytes)
2024-12-11 10:45:03,20.190.173.145,Pacote muito pesado (1514 bytes)
2024-12-11 10:50:17,10.5.130.241,IP na lista negra
2024-12-11 10:51:34,10.5.130.241,Pacote muito pesado (3250 bytes)
2024-12-11 10:51:57,2.21.10.5,Pacote muito pesado (1514 bytes)
2024-12-11 10:52:07,20.190.173.65,Pacote muito pesado (1514 bytes)
2024-12-11 11:00:44,10.5.130.241,Pacote muito pesado (2849 bytes)
2024-12-11 11:00:56,204.79.197.203,Pacote muito pesado (1514 bytes)
2024-12-11 11:00:56,2.21.10.4,Pacote muito pesado (1514 bytes)
2024-12-11 11:00:56,2.21.10.65,Pacote muito pesado (1514 bytes)
2024-12-11 11:00:56,204.79.197.219,Pacote muito pesado (1514 bytes)
2024-12-11 11:00:57,20.110.205.119,Pacote muito pesado (1514 bytes)
2024-12-11 11:00:57,2.21.10.237,Pacote muito pesado (1514 bytes)
2024-12-11 11:00:57,20.42.73.26,Pacote muito pesado (1514 bytes)
2024-12-11 11:00:57,13.107.21.237,Pacote muito pesado (1514 bytes)
2024-12-11 11:00:58,2.16.169.228,Pacote muito pesado (1514 bytes)
2024-12-11 11:00:58,2.21.152.164,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:00,2.21.10.41,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:03,20.201.52.37,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:05,20.96.153.111,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:09,13.107.6.158,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:09,2.21.10.51,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:09,2.21.10.54,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:10,52.97.12.82,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:11,52.109.108.8,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:11,52.168.112.66,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:22,185.199.109.153,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:22,151.101.192.223,Pacote muito pesado (1514 bytes)
2024-12-11 11:01:59,2.16.169.232,Pacote muito pesado (1514 bytes)
2024-12-11 11:02:09,2.16.169.133,Pacote muito pesado (1514 bytes)
2024-12-11 11:02:25,20.190.173.0,Pacote muito pesado (1514 bytes)
2024-12-11 11:02:26,52.185.73.156,Pacote muito pesado (1514 bytes)
2024-12-11 11:02:29,13.85.23.206,Pacote muito pesado (1514 bytes)
2024-12-11 11:02:40,51.11.192.48,Pacote muito pesado (1514 bytes)
2024-12-11 11:02:41,188.172.252.72,Pacote muito pesado (1514 bytes)
2024-12-11 11:02:42,191.235.228.33,Pacote muito pesado (1514 bytes)
2024-12-11 11:02:46,204.79.197.239,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:01,20.42.73.24,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:15,10.5.130.254,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:15,20.190.173.129,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:15,20.50.73.11,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:15,2.21.153.196,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:16,189.125.140.83,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:16,151.101.94.172,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:16,52.177.176.186,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:22,13.74.137.53,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:42,10.5.131.38,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:49,20.44.239.154,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:56,10.5.131.5,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:56,10.5.131.41,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:56,10.5.131.50,Pacote muito pesado (1514 bytes)
2024-12-11 11:03:57,10.5.130.75,Pacote muito pesado (1514 bytes)
2024-12-11 11:05:07,104.225.10.225,Pacote muito pesado (1514 bytes)
2024-12-11 11:05:07,13.107.42.14,Pacote muito pesado (1514 bytes)
2024-12-11 11:05:07,2.16.169.241,Pacote muito pesado (1514 bytes)
2024-12-11 11:05:07,45.54.49.1,Pacote muito pesado (1514 bytes)
2024-12-11 11:05:09,172.64.155.209,Pacote muito pesado (1514 bytes)
2024-12-11 11:05:09,104.18.32.47,Pacote muito pesado (1514 bytes)
2024-12-11 11:05:09,104.18.41.158,Pacote muito pesado (1514 bytes)
2024-12-11 11:05:14,10.5.130.230,Pacote muito pesado (1514 bytes)
2024-12-11 11:05:15,2.21.10.58,Pacote muito pesado (1514 bytes)
2024-12-11 11:05:58,2.21.10.13,Pacote muito pesado (1514 bytes)
2024-12-11 11:07:25,20.190.173.145,Pacote muito pesado (1514 bytes)
2024-12-11 11:08:16,40.126.45.17,Pacote muito pesado (1514 bytes)
2024-12-11 11:08:17,20.37.153.0,Pacote muito pesado (1514 bytes)
2024-12-11 11:09:58,2.21.10.16,Pacote muito pesado (1514 bytes)
2024-12-11 11:10:58,2.21.10.60,Pacote muito pesado (1514 bytes)
